代码,指数名称,rule_id,factor,category,strategy_label,open_condition,close_condition,close_reason,entry_signal_date,entry_date,exit_signal_date,exit_date,entry_signal_idx,entry_idx,exit_signal_idx,exit_idx,entry_price,exit_price,trade_return,annualized_trade_return,max_drawdown,holding_days,forced_exit
000985.CSI,中证全指,institutional_net_buy,机构主动净买入,胜率/资金,机构主动净买入_季线低位修复_月线强势退潮退出,机构主动净买入_季线<=-0.5 + 季线5日斜率刚转正 + 信号日不大跌,闭仓_下穿_1.5sigma,闭仓_下穿_1.5sigma,2023-10-31,2023-11-01,2023-11-29,2023-11-30,1742,1743,1763,1764,4512.9991,4522.1118,0.0020192115704165126,0.024501454521830057,-0.02316096777340404,21,False
000985.CSI,中证全指,institutional_net_buy,机构主动净买入,胜率/资金,机构主动净买入_季线低位修复_月线强势退潮退出,机构主动净买入_季线<=-0.5 + 季线5日斜率刚转正 + 信号日不大跌,闭仓_下穿_1.5sigma,闭仓_下穿_1.5sigma,2024-02-01,2024-02-02,2024-03-22,2024-03-25,1808,1809,1838,1839,3765.6602,4309.0524,0.14430197392744026,2.10271178770286,-0.0295584876867514,30,False
000985.CSI,中证全指,institutional_net_buy,机构主动净买入,胜率/资金,机构主动净买入_季线低位修复_月线强势退潮退出,机构主动净买入_季线<=-0.5 + 季线5日斜率刚转正 + 信号日不大跌,闭仓_下穿_1.5sigma,闭仓_下穿_1.5sigma,2024-05-27,2024-05-28,2024-11-06,2024-11-07,1879,1880,1988,1989,4305.3863,5071.7389,0.17799856890890364,0.4604324362295975,-0.14608067455904017,109,False
000985.CSI,中证全指,institutional_net_buy,机构主动净买入,胜率/资金,机构主动净买入_季线低位修复_月线强势退潮退出,机构主动净买入_季线<=-0.5 + 季线5日斜率刚转正 + 信号日不大跌,闭仓_下穿_1.5sigma,闭仓_下穿_1.5sigma,2025-01-24,2025-01-27,2025-03-06,2025-03-07,2044,2045,2067,2068,4632.6668,4964.774,0.07168812572490646,1.1352330543175273,-0.02797001626384321,23,False
000985.CSI,中证全指,institutional_net_buy,机构主动净买入,胜率/资金,机构主动净买入_季线低位修复_月线强势退潮退出,机构主动净买入_季线<=-0.5 + 季线5日斜率刚转正 + 信号日不大跌,闭仓_下穿_1.5sigma,闭仓_下穿_1.5sigma,2025-11-05,2025-11-06,2025-11-25,2025-11-26,2230,2231,2244,2245,5918.754,5690.0807,-0.03863537832455943,-0.5079758179584631,-0.06263036100627939,14,False
000985.CSI,中证全指,institutional_net_buy,机构主动净买入,胜率/资金,机构主动净买入_季线低位修复_月线强势退潮退出,机构主动净买入_季线<=-0.5 + 季线5日斜率刚转正 + 信号日不大跌,闭仓_下穿_1.5sigma,闭仓_下穿_1.5sigma,2026-01-19,2026-01-20,2026-06-09,2026-06-10,2281,2282,2372,2373,6235.573,6173.6278,-0.009934163227661719,-0.027268851214847678,-0.10550130490027587,91,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2016-10-18,2016-10-19,2016-11-04,2016-11-07,31,32,44,45,4886.1995,4923.6553,0.007665630517133204,0.15954612253441236,-0.012240822682431207,13,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2016-11-14,2016-11-15,2016-12-08,2016-12-09,50,51,68,69,5044.4789,5006.607,-0.007507594094605108,-0.10012809271943923,-0.025453511013976082,18,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2017-02-10,2017-02-13,2017-03-31,2017-04-05,108,109,143,144,4872.1071,4949.5901,0.015903386031887567,0.1203077400356296,-0.024529654860683703,35,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2017-04-20,2017-04-21,2017-04-21,2017-04-24,155,156,156,157,4768.2533,4671.0193,-0.020391953590217282,-0.9944385169499856,-0.020391953590217282,1,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2017-06-29,2017-06-30,2017-07-20,2017-07-21,202,203,217,218,4772.1414,4754.6099,-0.0036737176312504616,-0.059959296178243804,-0.035493618366553625,15,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2017-11-06,2017-11-07,2017-11-22,2017-11-23,289,290,301,302,5081.4051,4970.1983,-0.021885049078255947,-0.3716699301239389,-0.03667577866537908,12,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2017-12-28,2017-12-29,2018-02-02,2018-02-05,327,328,352,353,4898.9029,4868.8127,-0.006142232376150969,-0.060215446823111085,-0.05351371231333413,25,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2018-07-03,2018-07-04,2018-08-08,2018-08-09,449,450,475,476,4002.4732,3963.8034,-0.009661476309198003,-0.08980580037623387,-0.08788322078512234,26,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2018-09-28,2018-10-08,2018-10-16,2018-10-17,511,512,518,519,3743.299,3457.6997,-0.07629614946601915,-0.9425646668305632,-0.08239464707467925,7,False
