代码,指数名称,日期,rule_id,factor,position,strategy_return,benchmark_return
000985.CSI,中证全指,2017-01-12,chip_profit_index,指数筹码盈利,1.0,-0.00743018733009182,-0.00743018733009182
000985.CSI,中证全指,2017-01-13,chip_profit_index,指数筹码盈利,1.0,-0.008622872445544605,-0.008622872445544605
000985.CSI,中证全指,2017-01-16,chip_profit_index,指数筹码盈利,1.0,-0.02019559431054352,-0.02019559431054352
000985.CSI,中证全指,2017-01-17,chip_profit_index,指数筹码盈利,1.0,0.006517341492467077,0.006517341492467077
000985.CSI,中证全指,2017-01-18,chip_profit_index,指数筹码盈利,1.0,-0.00012327816663892932,-0.00012327816663892932
000985.CSI,中证全指,2017-01-19,chip_profit_index,指数筹码盈利,1.0,-0.0038955056637623997,-0.0038955056637623997
000985.CSI,中证全指,2017-01-20,chip_profit_index,指数筹码盈利,1.0,0.01170108277179649,0.01170108277179649
000985.CSI,中证全指,2017-01-23,chip_profit_index,指数筹码盈利,1.0,0.0063060848914802126,0.0063060848914802126
000985.CSI,中证全指,2017-01-24,chip_profit_index,指数筹码盈利,1.0,-0.0017121222482113785,-0.0017121222482113785
000985.CSI,中证全指,2017-01-25,chip_profit_index,指数筹码盈利,1.0,0.00279319268860867,0.00279319268860867
000985.CSI,中证全指,2017-01-26,chip_profit_index,指数筹码盈利,1.0,0.005122816866402591,0.005122816866402591
000985.CSI,中证全指,2017-02-03,chip_profit_index,指数筹码盈利,1.0,-0.004657711560259181,-0.004657711560259181
000985.CSI,中证全指,2017-02-06,chip_profit_index,指数筹码盈利,1.0,0.006799820606213425,0.006799820606213425
000985.CSI,中证全指,2017-02-07,chip_profit_index,指数筹码盈利,1.0,-0.0004635079527760544,-0.0004635079527760544
000985.CSI,中证全指,2017-02-08,chip_profit_index,指数筹码盈利,1.0,0.00594495761209024,0.00594495761209024
000985.CSI,中证全指,2017-02-09,chip_profit_index,指数筹码盈利,1.0,0.005943547780079994,0.005943547780079994
000985.CSI,中证全指,2017-02-10,chip_profit_index,指数筹码盈利,1.0,0.0014558678765621558,0.0014558678765621558
000985.CSI,中证全指,2017-02-13,chip_profit_index,指数筹码盈利,1.0,0.006155628905001542,0.006155628905001542
000985.CSI,中证全指,2017-02-14,chip_profit_index,指数筹码盈利,1.0,-0.00031308835554955117,-0.00031308835554955117
000985.CSI,中证全指,2017-02-15,chip_profit_index,指数筹码盈利,1.0,-0.006943523809486596,-0.006943523809486596
000985.CSI,中证全指,2017-02-16,chip_profit_index,指数筹码盈利,1.0,0.0062968563663461374,0.0062968563663461374
000985.CSI,中证全指,2017-02-17,chip_profit_index,指数筹码盈利,1.0,-0.007268750239741606,-0.007268750239741606
000985.CSI,中证全指,2017-02-20,chip_profit_index,指数筹码盈利,1.0,0.0116425614628628,0.0116425614628628
000985.CSI,中证全指,2017-02-21,chip_profit_index,指数筹码盈利,1.0,0.0061911229025699566,0.0061911229025699566
000985.CSI,中证全指,2017-02-22,chip_profit_index,指数筹码盈利,1.0,0.003422524137779881,0.003422524137779881
000985.CSI,中证全指,2017-02-23,chip_profit_index,指数筹码盈利,1.0,-0.002409572151354289,-0.002409572151354289
000985.CSI,中证全指,2017-02-24,chip_profit_index,指数筹码盈利,1.0,0.0013739565484109928,0.0013739565484109928
000985.CSI,中证全指,2017-02-27,chip_profit_index,指数筹码盈利,1.0,-0.00773991949232633,-0.00773991949232633
000985.CSI,中证全指,2017-02-28,chip_profit_index,指数筹码盈利,1.0,0.0029360335815127314,0.0029360335815127314
000985.CSI,中证全指,2017-03-01,chip_profit_index,指数筹码盈利,1.0,0.002225988967950343,0.002225988967950343
000985.CSI,中证全指,2017-03-02,chip_profit_index,指数筹码盈利,1.0,-0.006349764804695401,-0.006349764804695401
000985.CSI,中证全指,2017-03-03,chip_profit_index,指数筹码盈利,1.0,0.0005755053196225823,0.0005755053196225823
000985.CSI,中证全指,2017-03-06,chip_profit_index,指数筹码盈利,1.0,0.00839080695590444,0.00839080695590444
000985.CSI,中证全指,2017-03-07,chip_profit_index,指数筹码盈利,1.0,0.0020976917175763443,0.0020976917175763443
000985.CSI,中证全指,2017-03-08,chip_profit_index,指数筹码盈利,1.0,-0.0027745767332263416,-0.0027745767332263416
000985.CSI,中证全指,2017-03-09,chip_profit_index,指数筹码盈利,1.0,-0.006821506046330805,-0.006821506046330805
000985.CSI,中证全指,2017-03-10,chip_profit_index,指数筹码盈利,0.0,0.0,0.00039711182186552563
000985.CSI,中证全指,2017-03-13,chip_profit_index,指数筹码盈利,0.0,0.0,0.007860081065277136
000985.CSI,中证全指,2017-03-14,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.0012249138989598451
000985.CSI,中证全指,2017-03-15,chip_profit_index,指数筹码盈利,1.0,0.0002546272763859214,0.0002546272763859214
000985.CSI,中证全指,2017-03-16,chip_profit_index,指数筹码盈利,1.0,0.00767422822946684,0.00767422822946684
000985.CSI,中证全指,2017-03-17,chip_profit_index,指数筹码盈利,1.0,-0.008607612146446897,-0.008607612146446897
000985.CSI,中证全指,2017-03-20,chip_profit_index,指数筹码盈利,1.0,0.0023190877571031,0.0023190877571031
000985.CSI,中证全指,2017-03-21,chip_profit_index,指数筹码盈利,1.0,0.003185443318369341,0.003185443318369341
000985.CSI,中证全指,2017-03-22,chip_profit_index,指数筹码盈利,1.0,-0.004630182398180471,-0.004630182398180471
000985.CSI,中证全指,2017-03-23,chip_profit_index,指数筹码盈利,1.0,0.0017274630853567619,0.0017274630853567619
000985.CSI,中证全指,2017-03-24,chip_profit_index,指数筹码盈利,0.0,0.0,0.005289977800799761
